Title,Author,URL
People Names Luigi Mangione Sexiest Assassin of the Year,Chase Teichholz,https://chicagoshadydealer.com/index.php/2025/03/23/people-names-luigi-mangione-sexiest-assassin-of-the-year/
Donald Trump Signs Executive Order Directing Economy to Be “Good” Instead of “Bad”,Jake Felsen,https://chicagoshadydealer.com/index.php/2025/03/22/donald-trump-signs-executive-order-directing-economy-to-be-good-instead-of-bad/
UChicago Accidentally Sugars Campus Sidewalks Instead of Salting Them,Sheep A. Doodle,https://chicagoshadydealer.com/index.php/2025/03/21/uchicago-accidentally-sugars-campus-sidewalks-instead-of-salting-them/
RFK Jr. Launches Promotional Tour for Polio: “It’s Really Not That Bad!”,Lydia Osborn,https://chicagoshadydealer.com/index.php/2025/03/20/rfk-jr-launches-promotional-tour-for-polio-its-really-not-that-bad/
Nation Distraught as Scientists Say Blue Apples Won’t Be Available Until 2029,Elliot Florack,https://chicagoshadydealer.com/index.php/2025/03/19/nation-distraught-as-scientists-say-blue-apples-wont-be-available-until-2029/
Trump Tells Obama He’s “Not Looking for Anything Serious” as Relationship Rumors Swirl,Jacob Halabe and 1 more,https://chicagoshadydealer.com/index.php/2025/03/18/trump-tells-obama-hes-not-looking-for-anything-serious-as-relationship-rumors-swirl/
Climate Scientists Urge Public to Stop Eating Ice Caps,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/03/17/6928/
Freshman Discovers New Theorem Explaining Why You Always See Your Opps in A-Level,Malhar Manek,https://chicagoshadydealer.com/index.php/2025/03/16/freshman-discovers-new-theorem-explaining-why-you-always-see-your-opps-in-a-level/
"UChicago Launches Puppy Killing Prevention Institute, Funded by John D. PuppyKiller",Samy Kouidri,https://chicagoshadydealer.com/index.php/2025/03/15/uchicago-launches-puppy-killing-prevention-institute-funded-by-john-d-puppykiller/
Breaking News: North Resident Transferred to I-House,Andrea Zhou,https://chicagoshadydealer.com/index.php/2025/03/14/breaking-news-north-resident-transferred-to-i-house/
“Who is Dean Boyer?” asks confused First Year,Justin Bilenker,https://chicagoshadydealer.com/index.php/2025/03/13/who-is-dean-boyer-asks-confused-first-year/
People Magazine Reports No Celebrities Have Drama This Week,R.E. Stern and 1 more,https://chicagoshadydealer.com/index.php/2025/03/12/people-magazine-reports-no-celebrities-have-drama-this-week/
“A Confusing Day for the Truth” – Shady Dealer Bid to Purchase The Thinker Put on Hold,Miles Jonson,https://chicagoshadydealer.com/index.php/2025/03/11/a-confusing-day-for-the-truth-shady-dealer-bid-to-purchase-the-thinker-put-on-hold/
UChicago Student Devastated By “A” Grade,Brian Yu,https://chicagoshadydealer.com/index.php/2025/03/10/uchicago-student-devastated-by-a-grade/
NYT Releases Crumbl: “The Game Where You Watch Your Life Crumble Away”,Alasdair Greenland and 1 more,https://chicagoshadydealer.com/index.php/2025/03/09/nyt-releases-crumbl-the-game-where-you-watch-your-life-crumble-away/
Two-Factor Authentication Taking Too Long? Here Are Some Alternatives,Elliot Florack and 1 more,https://chicagoshadydealer.com/index.php/2025/02/18/two-factor-authentication-taking-too-long-here-are-some-alternatives/
Five Things to Spend Your Money on Besides Blu-ray Copies of Ghost Rider 2,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/02/16/five-things-to-spend-your-money-on-besides-blu-ray-copies-of-ghost-rider-2/
Supreme Court Rules Fourth Amendment Intended Ironically,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/01/16/supreme-court-rules-forth-amendment-intended-ironically/
Student Tour Guide Fired for Just Making Shit Up About Gargoyles,Rebekah Wright,https://chicagoshadydealer.com/index.php/2025/01/15/student-tour-guide-fired-for-just-making-shit-up-about-gargoyles/
UChicago Med Vows to Speed Up Cancer Growth Unless $100 Million Is Donated to Free Speech,Michael Wagner,https://chicagoshadydealer.com/index.php/2025/01/14/uchicago-med-vows-to-speed-up-cancer-growth-unless-100-million-is-donated-to-free-speech/
"UChicago Establishes Center for the Investigation of the Pursuit of Knowledge, Happiness and Success",Daniel Pressman,https://chicagoshadydealer.com/index.php/2025/01/12/uchicago-establishes-center-for-the-investigation-of-the-pursuit-of-knowledge-happiness-and-success/
Woodlawn Pooper Strikes Again – Will Work on Building His Own Type of Bomb,Niles Watson,https://chicagoshadydealer.com/index.php/2025/01/10/woodlawn-pooper-strikes-again-will-work-on-building-his-own-type-of-bomb/
Trump Nominates Dracula To Lead Department of Blood,Noah DeMichaelis,https://chicagoshadydealer.com/index.php/2025/01/06/trump-nominates-dracula-to-lead-department-of-blood/
High School Hustler Applies ED to Electoral College,Justin Bilenker,https://chicagoshadydealer.com/index.php/2025/01/05/high-school-hustler-applies-ed-to-electoral-college/
"Midterms, in Fact, Mid",Shawn Quek,https://chicagoshadydealer.com/index.php/2025/01/04/midterms-in-fact-mid/
Op Ed: New Option For College Council Voting – Vote For Everyone!,Kevin Zackovich,https://chicagoshadydealer.com/index.php/2025/01/03/op-ed-new-option-for-college-council-voting-vote-for-everyone/
"Reg to Throw Out “Old, Gross” Special Collections",Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/01/02/reg-to-throw-out-old-gross-special-collections/
"“We Don’t Know Why We’re Out of Money,” Says Uchicago Admin Poorly Hiding Mountain of Pickles￼",Emma Zamansky,https://chicagoshadydealer.com/index.php/2025/01/01/we-dont-know-why-were-out-of-money-says-uchicago-admin-poorly-hiding-mountain-of-pickles%ef%bf%bc/
UChicago Unveils More Convenient Fourth Meal Dining Plan in the Loop,Chase Teichholz,https://chicagoshadydealer.com/index.php/2024/12/31/uchicago-unveils-more-convenient-fourth-meal-dining-plan-in-the-loop/
Breaking News! Human Clones Wreak Havoc,Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/12/30/breaking-news-human-clones-wreak-havoc/
UChicago Announces $200 Million “Free Expression+” Tier,Vivian Psylos and 3 more,https://chicagoshadydealer.com/index.php/2024/12/28/uchicago-announces-200-million-free-expression-tier/
Shady Dealer Officially Broke; Turns to Shady Dealings,Vivian Psylos,https://chicagoshadydealer.com/index.php/2024/11/29/shady-dealer-officially-broke-turns-to-shady-dealings/
UChicago Parent Fails Model Class,Maisie Thompson,https://chicagoshadydealer.com/index.php/2024/11/20/uchicago-parent-fails-model-class/
Researchers Predict New Dorm Check-in Policy Will Decimate On-Campus Hookups,Lilah Bachrach,https://chicagoshadydealer.com/index.php/2024/11/19/researchers-predict-new-dorm-check-in-policy-will-decimate-on-campus-hookups/
Point: Beware of the Zombie Apocalypse/ Counterpoint: Brainsssss,Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/11/17/point-beware-of-the-zombie-apocalypse-counterpoint-brainsssss/
"New Dorm Check-In Policy to Require Retinal Scan, Fingerprints",Sol Hochman,https://chicagoshadydealer.com/index.php/2024/11/16/new-dorm-check-in-policy-to-require-retinal-scan-fingerprints/
Incoming First-Year Didn’t Realize He’d Actually Have to Do His Psets,Elliot Florack,https://chicagoshadydealer.com/index.php/2024/11/14/incoming-first-year-didnt-realize-hed-actually-have-to-do-his-psets/
Sorry! Cool RSO Just One Friend Group That Hates You,Maisie Thompson,https://chicagoshadydealer.com/index.php/2024/11/13/sorry-cool-rso-just-one-friend-group-that-hates-you/
Breaking: PhoenixAI to Shut Down Amid Concerns that Non-Econ Majors are Using It.,Kevin Zackovich,https://chicagoshadydealer.com/index.php/2024/11/12/breaking-phoenixai-to-shut-down-amid-concerns-that-non-econ-majors-are-using-it/
Op-Ed | Deep State Responsible for Broken Crerar Sensors and Not Me,Alec Jones,https://chicagoshadydealer.com/index.php/2024/11/11/op-ed-deep-state-responsible-for-broken-crerar-sensors-and-not-me/
Balloon Triggers South Fire Alarm; Officials Raise Concerns About Chinese Involvement,Leah Grossman and 2 more,https://chicagoshadydealer.com/index.php/2024/11/10/balloon-triggers-south-fire-alarm-officials-raise-concerns-about-chinese-involvement/
"For Years, Campus Squirrels Have Circumvented Meal Swipes: “It’s Time to Make Them Pay”",Noah DeMichaelis and 1 more,https://chicagoshadydealer.com/index.php/2024/11/08/for-years-campus-squirrels-have-circumvented-meal-swipes-its-time-to-make-them-pay/
BREAKING: Jill Stein Wins,Benjamin Shapiero and 1 more,https://chicagoshadydealer.com/index.php/2024/11/05/breaking-jill-stein-wins/
"UChiVotes Ambassadors Beg Anyone, “Literally Anyone,” to Register to Vote",Niles Watson,https://chicagoshadydealer.com/index.php/2024/11/05/uchivotes-ambassadors-beg-anyone-literally-anyone-to-register-to-vote/
Trump Pledges Political Foes Will Only Be “Lightly Tortured” in Second Term,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/11/05/trump-pledges-political-foes-will-only-be-lightly-tortured-in-second-term/
South to Install New “Vibe-Based” Fire Alarms,Emma Zamansky,https://chicagoshadydealer.com/index.php/2024/11/04/south-to-install-new-vibe-based-fire-alarms/
UChicago to Pay All Employees in Maroon Dollars,Chase Teichholz,https://chicagoshadydealer.com/index.php/2024/11/04/uchicago-to-pay-all-employees-in-maroon-dollars/
Kamala Harris Fights Fire with Fire; Works at a Wendy’s,Niles Watson,https://chicagoshadydealer.com/index.php/2024/11/04/kamala-harris-fights-fire-with-fire-works-at-a-wendys/
Harris and Trump Unveil Matching Tattoos in Show of Bipartisanship,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/11/03/harris-and-trump-unveil-matching-tattoos-in-show-of-bipartisanship/
Top 5 Most Eligible Bachelors at UChicago,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/10/21/top-5-most-eligible-bachelors-at-uchicago/
Shortened Quarters,Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/10/20/shortened-quarters/
Naive First-Year Still Thinks He Will Have Same Academic Advisor All Four Years,Maisie Thompson and 1 more,https://chicagoshadydealer.com/index.php/2024/10/16/naive-first-year-still-thinks-he-will-have-same-academic-advisor-all-four-years/
“Practicals” and Other Words to Say at Your House Table So People Know You’re Cool,Lena Birkholz,https://chicagoshadydealer.com/index.php/2024/10/15/practicals-and-other-words-to-say-at-your-house-table-so-people-know-youre-cool/
First-Year’s Roommate Bears Suspiciously Striking Resemblance to D.B. Cooper,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/10/14/first-years-roommate-bears-suspiciously-striking-resemblance-to-d-b-cooper/
Extra! Extra! Fresh RSO Ads Here!,Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/10/13/extra-extra-fresh-rso-ads-here/
REPORT: Botany Pond Reopens (Just Kidding),Maisie Thompson,https://chicagoshadydealer.com/index.php/2024/10/12/report-botany-pond-reopens-just-kidding/
Glow Party Ruined by Ring of People Exchanging SAT Scores,Chicago Shady Dealer Newsdesk,https://chicagoshadydealer.com/index.php/2024/10/11/glow-party-ruined-by-ring-of-people-exchanging-sat-scores/
Stunning: O-Week Friend Group Forms Bond That Will Last a Whole Two Weeks,Chicago Shady Dealer Newsdesk,https://chicagoshadydealer.com/index.php/2024/10/11/stunning-o-week-friend-group-forms-bond-that-will-last-a-whole-two-weeks/
UChicago Announces Plans To Replace Campus Shuttles With Piggyback Rides,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/10/09/uchicago-announces-plans-to-replace-campus-shuttles-with-piggyback-rides/
Report: 2024-25 Not Your Year Either,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/10/08/report-2024-25-not-your-year-either/
Third Year Frat Brother Says He Majors in Bizcon “For the Children”,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/10/07/third-year-frat-brother-says-he-majors-in-bizcon-for-the-children/
Precocious First-Year Starts College with Opps Pre-Established,Lena Birkholz,https://chicagoshadydealer.com/index.php/2024/10/07/precocious-first-year-starts-college-with-opps-pre-established/
Guy at RSO Fair Uncomfortably Eager for You to Join His Club,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/10/06/guy-at-rso-fair-uncomfortably-eager-for-you-to-join-his-club/
O-Week Ball Pit Surprisingly Fun,Maisie Thompson,https://chicagoshadydealer.com/index.php/2024/10/04/o-week-ball-pit-surprisingly-fun/
First-Year in SOSC Class Somehow Smarter Than Every Philosopher,Maisie Thompson,https://chicagoshadydealer.com/index.php/2024/10/03/first-year-in-sosc-class-somehow-smarter-than-every-philosopher/
Vice Presidential Debate Goes Pretty Smoothly,Justin Bilenker,https://chicagoshadydealer.com/index.php/2024/10/01/vice-presidential-debate-goes-pretty-smoothly/
“Of Course I Drank in High School” Says First-Year Attempting to Open Beer,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/10/01/of-course-i-drank-in-high-school-says-first-year-attempting-to-open-beer/
Mozart Annihilates Beethoven in Searing New Diss Track “Piano Sonata No. 9”,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/06/05/mozart-annihilates-beethoven-in-searing-new-diss-track-piano-sonata-no-9/
Ask Senator McCarthy: Is My Mom Communist?,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/06/05/ask-senator-mccarthy-is-my-mom-communist/
Who Is This Man With Opposable Thumbs and Why Is He So Much Better Than the Rest of Us at Foraging?,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/06/05/who-is-this-man-with-opposable-thumbs-and-why-is-he-so-much-better-than-the-rest-of-us-at-foraging/
Letter from Cain to Abel Discovered in Sacrificial Lamb Pit,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/06/04/letter-from-cain-to-abel-discovered-in-sacrificial-lamb-pit/
"New Study Suggest Berlin Wall Fell Not from Political Pressure, but from ‘Inept’ Architect behind Campus North and Woodlawn",Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/06/04/new-study-suggest-berlin-wall-fell-not-from-political-pressure-but-from-inept-architect-behind-campus-north-and-woodlawn/
George Washington Founds America,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/26/george-washington-founds-america/
Joseph Malaria Hopes They Don’t Name Anything Bad After Him,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/24/joseph-malaria-hopes-they-dont-name-anything-bad-after-him/
Incredible New Horse Breed Runs at 1.5 Horsepower,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/24/incredible-new-horse-breed-runs-at-1-5-horsepower/
An Interview with the First Person to Ever Fall for the Oldest Trick in the Book,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/24/an-interview-with-the-first-person-to-ever-fall-for-the-oldest-trick-in-the-book/
JFK Gets Named After Famous Airport,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/23/jfk-gets-named-after-famous-airport/
Nepo Baby Alert! King’s Son Is Named New King,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/05/23/nepo-baby-alert-kings-son-is-named-new-king/
UChicago Gifts Chilean Government With Giant Wooden Horse as Token of Friendship,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/04/08/uchicago-gifts-chilean-government-with-giant-wooden-horse-as-token-of-friendship/
"Hallowed Replaces Decadent Pool Tables With Wholesome, Edifying Billiards Tables",Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/04/07/hallowed-replaces-decadent-pool-tables-with-wholesome-edifying-billiards-tables/
"Cardboard Cutouts to Replace Contestants in New, Alternative Beauty Pageant",Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/04/07/cardboard-cutouts-to-replace-contestants-in-new-alternative-beauty-pageant/
"Report: Human Nature Primarily Driven by Love, Not Fear",Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/04/06/report-human-nature-primarily-driven-by-love-not-fear/
Op-Ed From Dean Hale: UChicago Launches Study Abroad Program in I-House,Philip Yanakov,https://chicagoshadydealer.com/index.php/2024/04/06/op-ed-from-dean-hale-uchicago-launches-study-abroad-program-in-i-house-2/
Medieval Studies Major Catches Bubonic Plague for Research Purposes,Alasdair Greenland,https://chicagoshadydealer.com/index.php/2024/04/05/medieval-studies-major-catches-bubonic-plague-for-research-purposes/
Hallowed Grounds Shift Composed of 2 People to Stand There and 1 Person to Work,Justin Bilenker,https://chicagoshadydealer.com/index.php/2024/04/05/hallowed-grounds-shift-composed-of-2-people-to-stand-there-and-1-person-to-work/
"Dealer Investigates: Harper Elevator Actually Works, “Out-of-Order” Sign Revealed to be Performance Art",Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/04/04/dealer-investigates-harper-elevator-actually-works-out-of-order-sign-revealed-to-be-performance-art/
"Dispelling Fears about Age, Joe Biden Kills Moose with Bare Hands",Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/04/04/dispelling-fears-about-age-joe-biden-kills-moose-with-bare-hands/
Confused First-Year Found Doing Work in Coffee Shop,Justin Bilenker,https://chicagoshadydealer.com/index.php/2024/04/03/confused-first-year-found-doing-work-in-coffee-shop/
"With New ‘Feudal Peasant Deal’, Mac Properties Begins Renting Barren Fields to UChicago Students",Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/04/03/with-new-feudal-peasant-deal-mac-properties-begins-renting-barren-fields-to-uchicago-students/
New Website Offers Bookings for North Apartments 15 Years in Advance!,Lydia Osborn,https://chicagoshadydealer.com/index.php/2024/04/02/new-website-offers-bookings-for-north-apartments-15-years-in-advance/
"“You Should Write an Article about Bartlett Pizza,” Says My Friend Todd",Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2024/04/01/you-should-write-an-article-about-bartlett-pizza-says-my-friend-todd/
Wow! Guy in Your CIV Class Really Can’t Solve That Crossword,Merrin Seegers and 1 more,https://chicagoshadydealer.com/index.php/2024/04/01/wow-guy-in-your-civ-class-really-cant-solve-that-crossword/
Uchicago Football Loses to Club Rugby,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/03/31/uchicago-football-loses-to-club-rugby-2/
UChicago Gambling Club Wins Big,Vivian Psylos,https://chicagoshadydealer.com/index.php/2024/02/19/uchicago-gambling-club-wins-big/
"Acronym Majors on the Rise, New Report Says",Chicago Shady Dealer Newsdesk,https://chicagoshadydealer.com/index.php/2024/02/19/acronym-majors-on-the-rise-new-report-says/
Woodlawn to Require Students to Name 3 Brothers at the Front Desk,ZLC,https://chicagoshadydealer.com/index.php/2024/02/19/woodlawn-to-require-students-to-name-3-brothers-at-the-front-desk/
Reg to Be Painted Yellow in Honor of Corn,Chicago Shady Dealer Newsdesk,https://chicagoshadydealer.com/index.php/2024/02/19/reg-to-be-painted-yellow-in-honor-of-corn/
“Mountain” of Scratch Offs Found Under University Administration Offices,Justin Bilenker,https://chicagoshadydealer.com/index.php/2024/02/18/mountain-of-scratch-offs-found-under-university-administration-offices/
College Unveils New “Indecisive” Major,Jack Archer,https://chicagoshadydealer.com/index.php/2024/02/18/college-unveils-new-indecisive-major/
Earth as a Planet Students Accused of Cheating by Sharing Test Answers With the Moon,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/02/18/earth-as-a-planet-students-accused-of-cheating-by-sharing-test-answers-with-the-moon/
"Following Drop In Rankings, UChicago Students Report Sun Is a Little Dimmer",Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/02/18/following-drop-in-rankings-uchicago-students-report-sun-is-a-little-dimmer/
Creative Writing Department Announces New Specialization in Shitty New Adult Novels,Lydia Osborn,https://chicagoshadydealer.com/index.php/2024/02/18/creative-writing-department-announces-new-specialization-in-shitty-new-adult-novels/
Study Finds Writing Workshop Feedback from Kyle “Unhelpful”,Maisie Thompson and 1 more,https://chicagoshadydealer.com/index.php/2024/02/18/study-finds-writing-workshop-feedback-from-kyle-unhelpful/
President Alivisatos Accused of Plagiarizing From the Periodic Table of Elements,Chicago Shady Dealer Newsdesk,https://chicagoshadydealer.com/index.php/2024/02/18/president-alivisatos-accused-of-plagiarizing-from-the-periodic-table-of-elements/
Dining Halls Offer Water Only As of Winter,Andrea Zhou,https://chicagoshadydealer.com/index.php/2024/02/18/dining-halls-offer-water-only-as-of-winter/
UChicago Launches Skincare MLM to Make Up $239 Million Budget Deficit,Lydia Osborn,https://chicagoshadydealer.com/index.php/2024/02/08/uchicago-launches-skincare-mlm-to-make-up-239-million-budget-deficit/
"In New Cost-Saving Measure, UChicago Cuts Heat, Plumbing to Cobb",Katherine Reynolds,https://chicagoshadydealer.com/index.php/2024/02/07/in-new-cost-saving-measure-uchicago-cuts-heat-plumbing-to-cobb/
Midwave Radio Devastated at a Somehow Negative Listener Count,Jacob Halabe,https://chicagoshadydealer.com/index.php/2024/02/07/midwave-radio-devastated-at-a-somehow-negative-listener-count/
Non-Stem Majors Cheat in Weird Moon Class,Justin Bilenker,https://chicagoshadydealer.com/index.php/2024/02/07/non-stem-majors-cheat-in-weird-moon-class/
Op-Ed From Dean Hale: UChicago Launches Study Abroad Program in I-House,Philip Yanakov,https://chicagoshadydealer.com/index.php/2024/01/07/op-ed-from-dean-hale-uchicago-launches-study-abroad-program-in-i-house/
UChicago Football Loses to Club Rugby,Chicago Shady Dealer,https://chicagoshadydealer.com/index.php/2024/01/07/uchicago-football-loses-to-club-rugby/
Student Dressed as “Fun” Found Dead Inside Reg B Level,Rogert Accelsior Cockleton,https://chicagoshadydealer.com/index.php/2023/12/08/student-dressed-as-fun-found-dead-inside-reg-b-level/
UChicago’s Most Eligible Bachelor Found to be “Escaped Specimen” From UChicago Medicine,Merrin Seegers and 1 more,https://chicagoshadydealer.com/index.php/2023/12/07/uchicagos-most-eligible-bachelor-found-to-be-escaped-specimen-from-uchicago-medicine/
"House Misses Apple Season, Forced to Go Rutabaga Picking",Lena Birkholz and 1 more,https://chicagoshadydealer.com/index.php/2023/12/06/house-misses-apple-season-forced-to-go-rutabaga-picking/
UChicago Login Systems Switch From Duo to Trio,Alasdair Greenland,https://chicagoshadydealer.com/index.php/2023/12/06/uchicago-login-systems-switch-from-duo-to-trio/
First-Year Enchanted by Dead Gazes of Grad Students in Lab,Katherine Reynolds,https://chicagoshadydealer.com/index.php/2023/12/06/first-year-enchanted-by-dead-gazes-of-grad-students-in-lab/
World Leaders Pledge to Kill Last Black Rhino by 2030,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2023/12/05/world-leaders-pledge-to-kill-last-black-rhino-by-2030/
Helium Balloons Rise Due to Inflation,Justin Bilenker,https://chicagoshadydealer.com/index.php/2023/12/05/helium-balloons-rise-due-to-inflation/
Study Finds Bite Magazine Not Edible,Merrin Seegers and 1 more,https://chicagoshadydealer.com/index.php/2023/12/04/study-finds-bite-magazine-not-edible/
Student Wellness Reports 700% Increase in Gout,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2023/12/04/student-wellness-reports-700-increase-in-gout/
EPIC NEW FRESHMEN CHARTER NEW FRAT OMEGA OMEGA OMEGA,Albek Jones,https://chicagoshadydealer.com/index.php/2023/12/03/epic-new-freshmen-charter-new-frat-omega-omega-omega/
Chemistry Department Adds Shorthand Requirement to Make Time for Even Longer Pre-labs,Lydia Osborn,https://chicagoshadydealer.com/index.php/2023/11/17/chemistry-department-adds-shorthand-requirement-to-make-time-for-even-longer-pre-labs/
Op-Ed: I Was Let Down By UChicago’s Frivolous Academic Attitude,Dana Lowitt,https://chicagoshadydealer.com/index.php/2023/11/16/op-ed-i-was-let-down-by-uchicagos-frivolous-academic-attitude/
"Golden Retriever Boys Out, Indeterminate Terrier Mix Boys In Says New Poll",Myla Keigh,https://chicagoshadydealer.com/index.php/2023/11/15/golden-retriever-boys-out-indeterminate-terrier-mix-boys-in-says-new-poll/
RH’s Dog Overwhelmed From the Weight of Every Student’s Mental Well-Being,Katherine Reynolds,https://chicagoshadydealer.com/index.php/2023/11/14/rhs-dog-overwhelmed-from-the-weight-of-every-students-mental-well-being/
University Initiates Book Drive for Local Elementary School,William Wang,https://chicagoshadydealer.com/index.php/2023/11/14/university-initiates-book-drive-for-local-elementary-school/
Disaster Strikes! Kid You Hate Still Goes Here,Jackson Slipock,https://chicagoshadydealer.com/index.php/2023/11/13/disaster-strikes-kid-you-hate-still-goes-here/
